name,population,lga,region,latitude,longitude,designation,population_category
Canowindra,1451,Cabonne,Central West,-33.5667,148.6667,Urban Center,Medium Village (1000-4999)
Emerald Beach West,1427,Coffs Harbour,North Coast,-30.2167,153.15,Locality,Medium Village (1000-4999)
Braidwood,1414,Queanbeyan-Palerang,Capital Country,-35.4333,149.8,Urban Center,Medium Village (1000-4999)
Boorowa,1402,Hilltops,Capital Country,-34.4333,148.7167,Urban Center,Medium Village (1000-4999)
Bulahdelah,1163,Mid-Coast,North Coast,-32.4167,152.2,Urban Center,Medium Village (1000-4999)
Coraki,1155,Richmond Valley,Northern Rivers,-28.9833,153.2833,Urban Center,Medium Village (1000-4999)
Bombala,1136,Snowy Monaro,Snowy Mountains,-36.9167,149.2333,Urban Center,Medium Village (1000-4999)
Ellalong,1125,Cessnock,Hunter,-32.8333,151.4333,Locality,Medium Village (1000-4999)
Culcairn,1112,Greater Hume,Murray,-35.6667,147.0333,Urban Center,Medium Village (1000-4999)
Douglas Park,1092,Wollondilly,Macarthur,-34.1833,150.7167,Urban Center,Medium Village (1000-4999)
Balranald,1063,Balranald,Living Outback,-34.6333,143.5667,Urban Center,Medium Village (1000-4999)
Dorrigo,1046,Bellingen,North Coast,-30.3333,152.7167,Urban Center,Medium Village (1000-4999)
Barham,1036,Murray River,Murray,-35.6333,144.1333,Urban Center,Medium Village (1000-4999)
Barraba,1035,Tamworth Regional,New England,-30.3833,150.6167,Urban Center,Medium Village (1000-4999)
Berridale,1030,Snowy Monaro,Snowy Mountains,-36.3667,148.8333,Urban Center,Medium Village (1000-4999)
Bingara,1028,Gwydir,New England,-29.8667,150.5667,Urban Center,Medium Village (1000-4999)
Batlow,1022,Snowy Valleys,Riverina,-35.5167,148.15,Urban Center,Medium Village (1000-4999)
Diamond Beach,1012,Mid-Coast,North Coast,-32.1833,152.5333,Locality,Medium Village (1000-4999)
Crescent Head,978,Kempsey,North Coast,-31.1833,152.9667,Locality,Small Village (500-999)
Berrigan,957,Berrigan,Murray,-35.6667,145.8,Locality,Small Village (500-999)
Bowraville,941,Nambucca Valley,North Coast,-30.65,152.85,Locality,Small Village (500-999)
Beechwood,914,Port Macquarie-Hastings,North Coast,-31.3833,152.85,Locality,Small Village (500-999)
East Jindabyne,907,Snowy Monaro,Snowy Mountains,-36.4167,148.6167,Locality,Small Village (500-999)
Boggabri,885,Narrabri,New England,-30.6833,150.0417,Locality,Small Village (500-999)
Clarence Town,878,Dungog,Hunter,-32.5833,151.7667,Locality,Small Village (500-999)
Darlington Point,868,Murrumbidgee,Riverina,-34.5667,146.0667,Locality,Small Village (500-999)
Adelong,856,Snowy Valleys,Riverina,-35.3167,148.0667,Locality,Small Village (500-999)
Brandy Hill,852,Port Stephens,Hunter,-32.6167,151.8333,Locality,Small Village (500-999)
Erowal Bay,791,Shoalhaven,South Coast,-35.1167,150.5667,Locality,Small Village (500-999)
Cunjurong Point,785,Shoalhaven,South Coast,-35.1833,150.5833,Locality,Small Village (500-999)
Brewarrina,743,Brewarrina,Living Outback,-29.9667,146.8583,Locality,Small Village (500-999)
Brooklyn,737,Central Coast,Central Coast,-33.5333,151.2167,Locality,Small Village (500-999)
Ewingsdale,733,Byron,Northern Rivers,-28.6167,153.5833,Locality,Small Village (500-999)
Dunedoo,725,Warrumbungle,Central West,-32.0167,149.3833,Locality,Small Village (500-999)
Coolah,722,Warrumbungle,Central West,-31.8167,149.7167,Locality,Small Village (500-999)
Bawley Point,716,Eurobodalla,South Coast,-35.5167,150.4,Locality,Small Village (500-999)
Clifton Grove,701,Greater Taree,North Coast,-31.8833,152.4,Locality,Small Village (500-999)
Cudgen,616,Tweed,Northern Rivers,-28.25,153.5833,Locality,Small Village (500-999)
Curlewis,605,Gunnedah,New England,-31.0833,150.3333,Locality,Small Village (500-999)
Eugowra,601,Forbes,Central West,-33.7167,148.3667,Locality,Small Village (500-999)
Cowan,599,Hornsby,Sydney,-33.5833,151.1667,Locality,Small Village (500-999)
Coomba Park,587,Mid-Coast,North Coast,-32.2667,152.5667,Locality,Small Village (500-999)
Baradine,586,Warrumbungle,Central West,-30.9333,149.0667,Locality,Small Village (500-999)
Belimbla Park,576,Camden,Macarthur,-34.0833,150.8,Locality,Small Village (500-999)
Coleambally,566,Murrumbidgee,Riverina,-34.8167,145.8833,Locality,Small Village (500-999)
Clunes,564,Lismore,Northern Rivers,-28.9667,153.35,Locality,Small Village (500-999)
Burringbar,555,Tweed,Northern Rivers,-28.3833,153.4833,Locality,Small Village (500-999)
Coutts Crossing,553,Clarence Valley,Northern Rivers,-29.6333,152.9167,Locality,Small Village (500-999)
Boggabilla,529,Moree Plains,New England,-28.6167,150.0333,Locality,Small Village (500-999)
Broadwater,524,Richmond Valley,Northern Rivers,-29.0333,153.4167,Locality,Small Village (500-999)
Dunoon,513,Lismore,Northern Rivers,-28.6833,153.3167,Locality,Small Village (500-999)
Euston,500,Balranald,Living Outback,-34.5833,142.7333,Locality,Small Village (500-999)
Currarong,479,Shoalhaven,South Coast,-35.0167,150.8,Locality,Very Small Village (<500)
Bonville East,476,Coffs Harbour,North Coast,-30.1667,153.1333,Locality,Very Small Village (<500)
Captains Flat,473,Queanbeyan-Palerang,Capital Country,-35.6,149.4333,Locality,Very Small Village (<500)
Ashford,472,Inverell,New England,-29.2333,151.1333,Locality,Very Small Village (<500)
Dareton,456,Wentworth,Living Outback,-34.1,142.0333,Locality,Very Small Village (<500)
Caniaba,438,Lismore,Northern Rivers,-28.8333,153.3667,Locality,Very Small Village (<500)
Coopernook,430,Mid-Coast,North Coast,-31.9167,152.6,Locality,Very Small Village (<500)
Collarenebri,425,Walgett,New England,-29.55,148.5833,Locality,Very Small Village (<500)
Exeter,419,Wingecarribee,Southern Highlands,-34.6167,150.3167,Locality,Very Small Village (<500)
Cobargo,417,Bega Valley,South Coast,-36.3833,149.9,Locality,Very Small Village (<500)
Bonville,411,Coffs Harbour,North Coast,-30.1833,153.1167,Locality,Very Small Village (<500)
Binnaway,399,Warrumbungle,Central West,-31.55,149.3833,Locality,Very Small Village (<500)
Candelo,389,Bega Valley,South Coast,-36.7667,149.7167,Locality,Very Small Village (<500)
Coramba,389,Coffs Harbour,North Coast,-30.2167,153.0667,Locality,Very Small Village (<500)
Bundarra,374,Uralla,New England,-30.2667,151.1,Locality,Very Small Village (<500)
Balmoral,365,Wingecarribee,Southern Highlands,-34.3333,150.5833,Locality,Very Small Village (<500)
Awaba,362,Lake Macquarie,Hunter,-33.0167,151.5167,Locality,Very Small Village (<500)
Ardlethan,352,Coolamon,Riverina,-34.3167,147.05,Locality,Very Small Village (<500)
Boomerang Beach,334,Mid-Coast,North Coast,-32.2,152.5167,Locality,Very Small Village (<500)
Bemboka,322,Bega Valley,South Coast,-36.5333,149.8667,Locality,Very Small Village (<500)
Cudal,317,Cabonne,Central West,-33.2667,148.8833,Locality,Very Small Village (<500)
Deepwater,315,Glen Innes Severn,New England,-29.15,151.8167,Locality,Very Small Village (<500)
Dangar Island,313,Hornsby,Sydney,-33.5667,151.2,Locality,Very Small Village (<500)
Attunga,307,Tamworth Regional,New England,-31.15,150.8667,Locality,Very Small Village (<500)
Binalong,302,Yass Valley,Capital Country,-34.7167,148.85,Locality,Very Small Village (<500)
Fairy Hill,302,Ballina,Northern Rivers,-28.8167,153.45,Locality,Very Small Village (<500)
Emmaville,296,Glen Innes Severn,New England,-29.4833,151.5167,Locality,Very Small Village (<500)
Conjola Park,291,Shoalhaven,South Coast,-35.25,150.4667,Locality,Very Small Village (<500)
Bowning,290,Yass Valley,Capital Country,-34.8333,148.8667,Locality,Very Small Village (<500)
Bodalla,281,Eurobodalla,South Coast,-36.0833,150.05,Locality,Very Small Village (<500)
Delungra,281,Inverell,New England,-29.85,150.2833,Locality,Very Small Village (<500)
Ashley,280,Clarence Valley,Northern Rivers,-29.2667,153.05,Locality,Very Small Village (<500)
Bonalbo,278,Kyogle,Northern Rivers,-28.75,152.6167,Locality,Very Small Village (<500)
Barellan,276,Narrandera,Riverina,-34.5667,146.8167,Locality,Very Small Village (<500)
Ariah Park,272,Temora,Riverina,-34.3667,147.2167,Locality,Very Small Village (<500)
Burrawang,270,Wingecarribee,Southern Highlands,-34.7,150.4333,Locality,Very Small Village (<500)
Elizabeth Beach,268,Mid-Coast,North Coast,-32.25,152.5167,Locality,Very Small Village (<500)
Cumnock,261,Orange,Central West,-33.6167,149.0667,Locality,Very Small Village (<500)
Falls Creek,258,Tamworth Regional,New England,-31.2667,151.1,Locality,Very Small Village (<500)
Adaminaby,257,Snowy Monaro,Snowy Mountains,-35.9667,148.7167,Locality,Very Small Village (<500)
Berrima,255,Wingecarribee,Southern Highlands,-34.4833,150.35,Locality,Very Small Village (<500)
Abernethy,255,Snowy Monaro,Snowy Mountains,-36.35,149.35,Locality,Very Small Village (<500)
Bredbo,253,Snowy Monaro,Snowy Mountains,-35.85,149.5,Locality,Very Small Village (<500)
Collector,251,Upper Lachlan,Capital Country,-34.9167,149.4333,Locality,Very Small Village (<500)
Bilbul,251,Narrandera,Riverina,-34.6167,146.6333,Locality,Very Small Village (<500)
Brooms Head,248,Clarence Valley,Northern Rivers,-29.6333,153.3167,Locality,Very Small Village (<500)
Cargo,246,Orange,Central West,-33.75,148.9,Locality,Very Small Village (<500)
Copmanhurst,240,Clarence Valley,Northern Rivers,-29.6,152.7167,Locality,Very Small Village (<500)
Broke,231,Singleton,Hunter,-32.75,151.0667,Locality,Very Small Village (<500)
Clarenza,229,Clarence Valley,Northern Rivers,-29.4167,153.3333,Locality,Very Small Village (<500)
Barmedman,212,Temora,Riverina,-34.55,147.3333,Locality,Very Small Village (<500)
Delegate,201,Snowy Monaro,Snowy Mountains,-37.0167,149.0167,Locality,Very Small Village (<500)
Bonny Hills West,194,Port Macquarie-Hastings,North Coast,-31.5833,152.8333,Locality,Very Small Village (<500)
Angourie,192,Clarence Valley,Northern Rivers,-29.4833,153.3667,Locality,Very Small Village (<500)
Cullen Bullen,117,Lithgow,Blue Mountains,-33.2167,150.0333,Locality,Very Small Village (<500)
